base,exponent,growth_value,iterative_ns,recursive_ns
1.0459,47,8242.0959,2955.0,1546.0
1.0186,28,1675.3394,1974.0,1042.0
1.0381,17,1888.2794,1403.0,905.0
1.0437,10,1533.758,1020.0,11093.0
1.0718,31,8580.7714,7193.0,2979.0
1.016,6,1099.9229,1716.0,807.0
1.0184,7,1136.1318,1204.0,1133.0
1.077,24,5931.6686,4668.0,4562.0
1.0831,36,17703.8618,6266.0,1629.0
1.0154,36,1733.5554,5755.0,1854.0
1.0606,43,12552.198,3497.0,1606.0
1.021,23,1612.8429,2100.0,1591.0
1.0886,49,64054.2822,3396.0,1352.0
1.0481,47,9097.622,3390.0,1469.0
1.0146,19,1317.0501,1629.0,1067.0
1.064,23,4165.407,1791.0,1487.0
1.0193,33,1879.1732,2569.0,1068.0
1.0291,43,3433.0163,2838.0,1356.0
1.0534,7,1439.3062,885.0,756.0
1.0415,36,4322.4888,2624.0,1064.0
1.0431,49,7906.2642,3248.0,1204.0
1.0351,15,1677.7785,1354.0,1030.0
1.0826,36,17412.0064,2626.0,1068.0
1.0977,40,41624.2641,2681.0,1060.0
1.0652,42,14194.125,2774.0,1392.0
1.0601,39,9739.2731,2948.0,1333.0
1.0936,45,56057.3509,2963.0,1366.0
1.0341,12,1495.3762,1350.0,782.0
1.0346,49,5294.8204,3181.0,1198.0
1.0378,22,2262.042,1706.0,1049.0
1.0416,12,1630.8411,1166.0,918.0
1.0883,37,22892.8193,2575.0,1190.0
1.0692,5,1397.3164,780.0,630.0
1.0228,41,2520.11,2732.0,1364.0
1.0975,6,1747.5402,831.0,633.0
1.0772,14,2832.3624,1281.0,898.0
1.0439,30,3628.8325,2141.0,1156.0
1.0407,24,2605.0335,1827.0,1067.0
1.038,21,2188.4893,1653.0,1048.0
1.0799,37,17186.6417,2579.0,1186.0
1.0637,4,1280.1965,724.0,497.0
1.024,49,3196.6705,3946.0,1210.0
1.0656,44,16373.6431,2893.0,1234.0
1.0173,29,1644.4561,2101.0,1386.0
1.0696,32,8611.6152,2265.0,975.0
1.0646,27,5420.4391,2597.0,1443.0
1.0346,49,5294.8204,3812.0,1224.0
1.0561,23,3509.2635,1903.0,1491.0
1.0487,19,2468.1644,1654.0,1111.0
1.071,38,13551.8907,2958.0,1382.0
1.0538,43,9519.2417,3079.0,1409.0
1.0378,15,1744.6367,1653.0,1027.0
1.0456,39,5691.9019,2629.0,1331.0
1.0149,14,1230.0578,1284.0,900.0
1.0371,14,1665.2862,1276.0,902.0
1.0791,49,41689.1398,3352.0,1259.0
1.033,21,1977.4556,1655.0,1057.0
1.0208,32,1932.4184,2265.0,1064.0
1.0772,12,2440.9346,1304.0,761.0
1.0216,35,2112.6665,2365.0,1179.0
1.0733,33,10322.7942,2259.0,1032.0
1.0603,43,12400.4299,2922.0,1363.0
